G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
46,Wed Jan 24 2018,7:00p ET,,Box Score,,New Orleans Pelicans,L,,96,101,19,27,L 1,
47,Fri Jan 26 2018,7:00p ET,,Box Score,,Atlanta Hawks,W,,121,110,20,27,W 1,
48,Sat Jan 27 2018,7:30p ET,,Box Score,@,Miami Heat,L,,91,95,20,28,L 1,
49,Mon Jan 29 2018,7:00p ET,,Box Score,@,Indiana Pacers,L,,96,105,20,29,L 2,
50,Wed Jan 31 2018,7:30p ET,,Box Score,@,Atlanta Hawks,W,,123,110,21,29,W 1,
51,Fri Feb 2 2018,7:00p ET,,Box Score,,Indiana Pacers,W,,133,126,22,29,W 2,
52,Sun Feb 4 2018,3:00p ET,,Box Score,@,Phoenix Suns,W,,115,110,23,29,W 3,
53,Mon Feb 5 2018,9:00p ET,,Box Score,@,Denver Nuggets,L,,104,121,23,30,L 1,
54,Thu Feb 8 2018,10:00p ET,,Box Score,@,Portland Trail Blazers,L,OT,103,109,23,31,L 2,
55,Fri Feb 9 2018,9:00p ET,,Box Score,@,Utah Jazz,L,,94,106,23,32,L 3,
56,Sun Feb 11 2018,1:00p ET,,Box Score,,Toronto Raptors,L,,103,123,23,33,L 4,
57,Wed Feb 14 2018,7:00p ET,,Box Score,@,Orlando Magic,W,,104,102,24,33,W 1,
