G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
39,Fri Jan 5 2018,8:30p ET,,Box Score,@,Dallas Mavericks,W,,127,124,14,25,W 1,
40,Sat Jan 6 2018,7:00p ET,,Box Score,@,Indiana Pacers,L,,86,125,14,26,L 1,
41,Mon Jan 8 2018,8:00p ET,,Box Score,,Houston Rockets,L,,107,116,14,27,L 2,
42,Wed Jan 10 2018,7:30p ET,,Box Score,@,New York Knicks,W,2OT,122,119,15,27,W 1,
43,Sat Jan 13 2018,8:00p ET,,Box Score,,Detroit Pistons,W,,107,105,16,27,W 2,
44,Mon Jan 15 2018,3:30p ET,,Box Score,,Miami Heat,W,,119,111,17,27,W 3,
45,Wed Jan 17 2018,8:00p ET,,Box Score,,Golden State Warriors,L,,112,119,17,28,L 1,
46,Sat Jan 20 2018,5:00p ET,,Box Score,@,Atlanta Hawks,W,,113,97,18,28,W 1,
47,Mon Jan 22 2018,8:00p ET,,Box Score,@,New Orleans Pelicans,L,2OT,128,132,18,29,L 1,
48,Wed Jan 24 2018,7:00p ET,,Box Score,@,Philadelphia 76ers,L,,101,115,18,30,L 2,
49,Fri Jan 26 2018,8:00p ET,,Box Score,,Los Angeles Lakers,L,,103,108,18,31,L 3,
50,Sun Jan 28 2018,3:30p ET,,Box Score,,Milwaukee Bucks,L,,96,110,18,32,L 4,
51,Wed Jan 31 2018,10:00p ET,,Box Score,@,Portland Trail Blazers,L,,108,124,18,33,L 5,
52,Sat Feb 3 2018,3:30p ET,,Box Score,@,Los Angeles Clippers,L,,103,113,18,34,L 6,
53,Mon Feb 5 2018,10:00p ET,,Box Score,@,Sacramento Kings,L,,98,104,18,35,L 7,
54,Fri Feb 9 2018,9:30p ET,,Box Score,,Minnesota Timberwolves,W,,114,113,19,35,W 1,
55,Sat Feb 10 2018,8:00p ET,,Box Score,,Washington Wizards,L,,90,101,19,36,L 1,
56,Mon Feb 12 2018,8:00p ET,,Box Score,,Orlando Magic,W,,105,101,20,36,W 1,
57,Wed Feb 14 2018,8:00p ET,,Box Score,,Toronto Raptors,L,,98,122,20,37,L 1,
