G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
29,Sat Dec 16 2017,7:00p ET,,Box Score,@,Charlotte Hornets,W,,93,91,16,13,W 3,
30,Mon Dec 18 2017,8:00p ET,,Box Score,@,Minnesota Timberwolves,L,,107,108,16,14,L 1,
31,Wed Dec 20 2017,10:00p ET,,Box Score,,San Antonio Spurs,L,,91,93,16,15,L 2,
32,Fri Dec 22 2017,10:00p ET,,Box Score,,Denver Nuggets,L,,85,102,16,16,L 3,
33,Sat Dec 23 2017,9:30p ET,,Box Score,@,Los Angeles Lakers,W,,95,92,17,16,W 1,
34,Thu Dec 28 2017,10:30p ET,,Box Score,,Philadelphia 76ers,W,,114,110,18,16,W 2,
35,Sat Dec 30 2017,7:30p ET,,Box Score,@,Atlanta Hawks,L,,89,104,18,17,L 1,
36,Mon Jan 1 2018,8:00p ET,,Box Score,@,Chicago Bulls,W,OT,124,120,19,17,W 1,
37,Tue Jan 2 2018,7:00p ET,,Box Score,@,Cleveland Cavaliers,L,,110,127,19,18,L 1,
38,Fri Jan 5 2018,10:00p ET,,Box Score,,Atlanta Hawks,W,,110,89,20,18,W 1,
39,Sun Jan 7 2018,9:00p ET,,Box Score,,San Antonio Spurs,W,,111,110,21,18,W 2,
40,Tue Jan 9 2018,8:00p ET,,Box Score,@,Oklahoma City Thunder,W,,117,106,22,18,W 3,
41,Wed Jan 10 2018,8:00p ET,,Box Score,@,Houston Rockets,L,,112,121,22,19,L 1,
42,Fri Jan 12 2018,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,113,119,22,20,L 2,
43,Sun Jan 14 2018,9:00p ET,,Box Score,@,Minnesota Timberwolves,L,,103,120,22,21,L 3,
44,Tue Jan 16 2018,10:00p ET,,Box Score,,Phoenix Suns,W,,118,111,23,21,W 1,
45,Thu Jan 18 2018,10:00p ET,,Box Score,,Indiana Pacers,W,,100,86,24,21,W 2,
46,Sat Jan 20 2018,10:00p ET,,Box Score,,Dallas Mavericks,W,,117,108,25,21,W 3,
47,Mon Jan 22 2018,9:00p ET,,Box Score,@,Denver Nuggets,L,,101,104,25,22,L 1,
48,Wed Jan 24 2018,10:00p ET,,Box Score,,Minnesota Timberwolves,W,,123,114,26,22,W 1,
49,Fri Jan 26 2018,8:30p ET,,Box Score,@,Dallas Mavericks,W,,107,93,27,22,W 2,
50,Tue Jan 30 2018,10:30p ET,,Box Score,@,Los Angeles Clippers,W,,104,96,28,22,W 3,
51,Wed Jan 31 2018,10:00p ET,,Box Score,,Chicago Bulls,W,,124,108,29,22,W 4,
52,Fri Feb 2 2018,7:30p ET,,Box Score,@,Toronto Raptors,L,,105,130,29,23,L 1,
53,Sun Feb 4 2018,12:00p ET,,Box Score,@,Boston Celtics,L,,96,97,29,24,L 2,
54,Mon Feb 5 2018,7:00p ET,,Box Score,@,Detroit Pistons,L,,91,111,29,25,L 3,
55,Thu Feb 8 2018,10:00p ET,,Box Score,,Charlotte Hornets,W,OT,109,103,30,25,W 1,
56,Fri Feb 9 2018,10:30p ET,,Box Score,@,Sacramento Kings,W,,118,100,31,25,W 2,
57,Sun Feb 11 2018,9:00p ET,,Box Score,,Utah Jazz,L,,96,115,31,26,L 1,
58,Wed Feb 14 2018,10:30p ET,,Box Score,,Golden State Warriors,W,,123,117,32,26,W 1,
